Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,X (feet),Y (feet)
Operator 1,Well 1,MBH,5114.0,30.0,141,99,10,0.0,16079.0,1/1/2006,No Data,47.05114958,-103.2145801,,660.0,33.55,141.5187377,127.6901162,110.0098619,97.35188838,88.27525751,-6207668.792103861,3724549.7201593937
Operator 1,Well 10,MBH,10626.0,1.0,142,99,2,0.0,26063.0,1/1/2006,No Data,47.14045104,-103.1991766,,660.0,41.55,194.1485865,157.8676309,132.2430419,115.9653737,105.1199869,-6193295.496322022,3754253.509052448
Operator 4,Well 100,TFH,9167.0,28.0,139,100,13,1495508.0,55244.0,3/17/2012,Sleeves,46.86058682,-103.2462915,,660.0,47.59,277.9092702,227.7010739,168.79794,141.2155745,121.6579005,-6238093.729225703,3661103.1580901677
Operator 7,Well 1000,MBH,9969.0,1.0,142,97,7,954000.0,10225.0,1/1/2006,No Data,47.1389039,-103.0312774,,660.0,10.01,55.62130178,44.6416831,35.48104317,29.75016437,25.86017971,-6153735.285932647,3739997.3365047458
Operator 4,Well 10000,TFH,9008.0,23.0,154,98,33,3129000.0,51287.0,2/17/2015,P & P (cmt.),48.11203336,-103.2941402,SW-XL HYBRID,202.19094,86.55,,,,,,-6098593.084977269,4099257.734749742
Operator 1,Well 10001,TFH,9462.0,30.0,155,98,19,5528291.0,121503.0,7/6/2015,P & P,48.22798439,-103.3280376,SLICKWATER (HC),567.378245,119.27,,,,,,-6092463.060274112,4142291.4875144796
Operator 4,Well 10002,TFH,8996.0,30.0,156,100,18,3748800.0,125870.0,5/21/2015,P & P (cmt.),48.34053804,-103.5890329,SLICKWATER (HC),419.78419,68.75,,,,,,-6139310.272311236,4202548.362267863
Operator 18,Well 10003,MBH,9398.0,50.0,155,96,14,3433655.0,51273.0,9/29/2015,Sleeves,48.25359423,-102.9855248,,414.030395,107.59,,,,,,-6009812.154842169,4123689.207635939
Operator 1,Well 10004,TFH,9498.0,30.0,155,97,20,5961425.0,122948.0,1/8/2015,P & P,48.22731305,-103.177899,CROSSLINKED (HC),621.873795,95.87,,,,,,-6057669.609450055,4129958.6769993408
Operator 1,Well 10005,MBH,9444.0,30.0,154,100,24,5369856.0,121862.0,2/14/2015,P & P,48.15273772,-103.490046,CROSSLINKED (HC),575.85662,133.2,,,,,,-6139216.582106009,4129282.764648675
Operator 18,Well 10006,MBH,5916.0,50.0,157,96,5,4036711.0,60665.0,6/13/2015,Sleeves,48.45832024,-103.1116625,CROSSLINKED (HC),526.23735,48.9,,,,,,-6014536.590162333,4205016.200297952
Operator 18,Well 10007,TFH,10557.0,35.0,157,96,5,2804501.0,51832.0,6/17/2015,Sleeves,48.45832055,-103.1115264,SLICKWATER (HC),356.45244,50.13,,,,,,-6014505.046445159,4205005.434186939
Operator 18,Well 10008,TFH,9429.0,33.0,154,98,7,2224542.0,36200.0,3/29/2015,Sleeves,48.17029604,-103.3255974,CROSSLINKED (HC),504.71312,70.26,,,,,,-6098870.409126502,4122046.767889661
Operator 2,Well 10009,MBH,9854.0,30.0,155,96,5,3905892.0,83914.0,5/19/2015,P & P,48.28330445,-103.0560536,CROSSLINKED (HC),513.813995,81.4,,,,,,-6022641.890586127,4139664.6719998773
Operator 27,Well 1001,MBH,9456.0,25.0,161,101,26,2816044.0,59059.0,4/29/2015,P & P (cmt.),48.74899873,-103.7564416,LINEAR GEL (HC),660.0,58.75,,,,,,-6127934.009786885,4358029.943060951
Operator 2,Well 10010,TFH,9610.0,30.0,155,96,5,3774869.0,78953.0,5/25/2015,P & P,48.28330417,-103.0559303,,407.1868,69.84,,,,,,-6022613.288814072,4139654.7118387097
Operator 2,Well 10011,MBH,9223.0,30.0,155,96,5,3662033.0,73871.0,5/19/2015,P & P,48.28330388,-103.055807,,553.372805,76.36,,,,,,-6022584.68822632,4139644.748238146
Operator 2,Well 10012,MBH,9689.0,45.0,157,95,16,7019274.0,87643.0,12/11/2015,30 Sleeves and 15 P & P,48.42971051,-102.9629016,CROSSLINKED (HC),364.54824,102.94,,,,,,-5983508.746347849,4183196.9388918458
Operator 2,Well 10013,MBH,10137.0,45.0,157,95,16,7542850.0,89824.0,12/9/2015,30 Sleeves and 15 P & P,48.42971063,-102.9630252,,449.23288,114.17,,,,,,-5983537.375568388,4183206.8122307532
Operator 41,Well 10014,TFH,9068.0,28.0,155,100,1,3602394.0,125812.0,9/20/2014,P & P,48.28372616,-103.4755151,SLICKWATER (HC),619.291925,90.64,494.017094,334.8564541,257.6703923,,,-6119926.123180959,4173596.9531575283
Operator 1,Well 10015,TFH,9547.0,40.0,159,96,34,4810607.0,105828.0,9/14/2014,P & P,48.54718859,-103.0782601,,660.0,55.68,285.7659435,242.31865,206.6348893,,,-5996139.00610327,4233286.789083474
Operator 24,Well 10016,TFH,9199.0,25.0,154,98,23,4717858.0,112745.0,8/18/2014,P & P (cmt.),48.14163319,-103.2484607,CROSSLINKED (HC),262.21974,80.22,513.0177515,369.2965155,291.7926803,240.2586018,,-6084393.764835572,4105854.6509111687
Operator 38,Well 10017,TFH,6568.0,26.0,154,99,14,3811423.0,59463.0,11/13/2014,P & P (cmt.),48.16610045,-103.3766646,LINEAR GEL (HC),401.45465,67.74,329.1913215,287.6725838,,,,-6111247.394183164,4124721.905383489
