,Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,X (feet),Y (feet),Neighbors_Count_UpToDate
0,Operator 1,Well 1,MBH,5114,30,141,99,10,0,16079,1/1/2006,No Data,47.05114958,-103.2145801,,660,33.55,141.5187377,127.6901162,110.0098619,97.35188838,88.27525751,130416.844,123476.1341,0
1,Operator 1,Well 10,MBH,10626,1,142,99,2,0,26063,1/1/2006,No Data,47.14045104,-103.1991766,,660,41.55,194.1485865,157.8676309,132.2430419,115.9653737,105.1199869,144790.1398,153179.923,0
2,Operator 4,Well 100,TFH,9167,28,139,100,13,1495508,55244,3/17/2012,Sleeves,46.86058682,-103.2462915,,660,47.59,277.9092702,227.7010739,168.79794,141.2155745,121.6579005,99991.90685,60029.57201,0
3,Operator 7,Well 1000,MBH,9969,1,142,97,7,954000,10225,1/1/2006,No Data,47.1389039,-103.0312774,,660,10.01,55.62130178,44.6416831,35.48104317,29.75016437,25.86017971,184350.3501,138923.7504,0
4,Operator 4,Well 10000,TFH,9008,23,154,98,33,3129000,51287,2/17/2015,P & P (cmt.),48.11203336,-103.2941402,SW-XL HYBRID,202.19094,86.55,,,,,,239492.5511,498184.1487,2.75
5,Operator 1,Well 10001,TFH,9462,30,155,98,19,5528291,121503,7/6/2015,P & P,48.22798439,-103.3280376,SLICKWATER (HC),567.378245,119.27,,,,,,245622.5758,541217.9014,3.5
6,Operator 4,Well 10002,TFH,8996,30,156,100,18,3748800,125870,5/21/2015,P & P (cmt.),48.34053804,-103.5890329,SLICKWATER (HC),419.78419,68.75,,,,,,198775.3638,601474.7762,1.75
7,Operator 18,Well 10003,MBH,9398,50,155,96,14,3433655,51273,9/29/2015,Sleeves,48.25359423,-102.9855248,,414.030395,107.59,,,,,,328273.4812,522615.6216,2
8,Operator 1,Well 10004,TFH,9498,30,155,97,20,5961425,122948,1/8/2015,P & P,48.22731305,-103.177899,CROSSLINKED (HC),621.873795,95.87,,,,,,280416.0266,528885.0909,2.75
9,Operator 1,Well 10005,MBH,9444,30,154,100,24,5369856,121862,2/14/2015,P & P,48.15273772,-103.490046,CROSSLINKED (HC),575.85662,133.2,,,,,,198869.054,528209.1786,1.25
10,Operator 18,Well 10006,MBH,5916,50,157,96,5,4036711,60665,6/13/2015,Sleeves,48.45832024,-103.1116625,CROSSLINKED (HC),526.23735,48.9,,,,,,323549.0459,603942.6142,1
11,Operator 18,Well 10007,TFH,10557,35,157,96,5,2804501,51832,6/17/2015,Sleeves,48.45832055,-103.1115264,SLICKWATER (HC),356.45244,50.13,,,,,,323580.5896,603931.8481,0.75
12,Operator 18,Well 10008,TFH,9429,33,154,98,7,2224542,36200,3/29/2015,Sleeves,48.17029604,-103.3255974,CROSSLINKED (HC),504.71312,70.26,,,,,,239215.227,520973.1818,1.5
13,Operator 2,Well 10009,MBH,9854,30,155,96,5,3905892,83914,5/19/2015,P & P,48.28330445,-103.0560536,CROSSLINKED (HC),513.813995,81.4,,,,,,315443.7455,538591.0859,2
14,Operator 27,Well 1001,MBH,9456,25,161,101,26,2816044,59059,4/29/2015,P & P (cmt.),48.74899873,-103.7564416,LINEAR GEL (HC),660,58.75,,,,,,210151.6263,756956.357,1
15,Operator 2,Well 10010,TFH,9610,30,155,96,5,3774869,78953,5/25/2015,P & P,48.28330417,-103.0559303,,407.1868,69.84,,,,,,315472.3473,538581.1258,1.75
16,Operator 2,Well 10011,MBH,9223,30,155,96,5,3662033,73871,5/19/2015,P & P,48.28330388,-103.055807,,553.372805,76.36,,,,,,315500.9479,538571.1622,2
17,Operator 2,Well 10012,MBH,9689,45,157,95,16,7019274,87643,12/11/2015,30 Sleeves and 15 P & P,48.42971051,-102.9629016,CROSSLINKED (HC),364.54824,102.94,,,,,,354576.8897,582123.3528,3.25
18,Operator 2,Well 10013,MBH,10137,45,157,95,16,7542850,89824,12/9/2015,30 Sleeves and 15 P & P,48.42971063,-102.9630252,,449.23288,114.17,,,,,,354548.2605,582133.2261,1
19,Operator 41,Well 10014,TFH,9068,28,155,100,1,3602394,125812,9/20/2014,P & P,48.28372616,-103.4755151,SLICKWATER (HC),619.291925,90.64,494.017094,334.8564541,257.6703923,,,218159.5129,572523.3671,1.25
20,Operator 1,Well 10015,TFH,9547,40,159,96,34,4810607,105828,9/14/2014,P & P,48.54718859,-103.0782601,,660,55.68,285.7659435,242.31865,206.6348893,,,341946.63,632213.203,0
21,Operator 24,Well 10016,TFH,9199,25,154,98,23,4717858,112745,8/18/2014,P & P (cmt.),48.14163319,-103.2484607,CROSSLINKED (HC),262.21974,80.22,513.0177515,369.2965155,291.7926803,240.2586018,,253691.8712,504781.0648,1.5
22,Operator 38,Well 10017,TFH,6568,26,154,99,14,3811423,59463,11/13/2014,P & P (cmt.),48.16610045,-103.3766646,LINEAR GEL (HC),401.45465,67.74,329.1913215,287.6725838,,,,226838.2419,523648.3193,2
23,Operator 18,Well 10018,MBH,9982,35,159,98,26,2518225,43263,3/10/2015,Sleeves,48.57437066,-103.3177486,LINEAR GEL (HC),660,53.61,226.2327416,205.2706553,,,,289898.0209,660828.5088,1
24,Operator 46,Well 10019,MBH,9238,50,155,99,10,5998969,304024,9/28/2015,P & P,48.25649234,-103.4039464,SLICKWATER (HC),660,220.85,,,,,,231453.9635,557262.9401,3.75
25,Operator 22,Well 1002,TFH,9625,28,161,99,21,2411721,67357,2/16/2016,P & P (cmt.),48.75041565,-103.5396737,SLICKWATER (HC),660,79.07,,,,,,260148.1393,739910.9028,1
